type of house,location,price,bedrooms,bathrooms,toilets,parking_space
7 bedroom detached duplex for sale,"Asokoro Abuja, Asokoro District, Abuja","₦1,700,000,000",7.0,7.0,8.0,5.0
4 bedroom terraced duplex for sale,"Guzape, Guzape District, Abuja","₦260,000,000",4.0,4.0,5.0,4.0
4 bedroom detached duplex for sale,"Ajah, Ajah, Lagos","₦190,000,000",4.0,4.0,5.0,3.0
6 bedroom detached duplex for sale,"Minister Quaters, Maitama District, Abuja","₦3,500,000,000",6.0,6.0,7.0,6.0
4 bedroom terraced duplex for sale,"Salem, Ikate, Lekki, Lagos","₦250,000,000",4.0,4.0,4.0,2.0
4 bedroom semi-detached duplex for sale,"Greenland Estate, Ajah, Lagos","₦80,000,000",4.0,4.0,5.0,4.0
3 bedroom flat / apartment for sale,"Surulere, Lagos","₦90,000,000",3.0,3.0,4.0,
Land for sale,"Ikoyi, Lagos","₦1,050,000,000",,,,
4 bedroom semi-detached duplex for sale,"Off Freedom Way, Lekki, Lagos","₦380,000,000",4.0,4.0,5.0,2.0
4 bedroom house for sale,"Lekki Phase 1, Lekki, Lagos","₦500,000,000",4.0,4.0,5.0,2.0
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦350,000,000",4.0,4.0,5.0,3.0
5 bedroom semi-detached duplex for sale,"Osapa, Lekki, Lagos","₦600,000,000",5.0,5.0,5.0,4.0
12 bedroom house for sale,"Sapele Road, Close To The Express, Benin, Oredo, Edo","₦70,000,000",12.0,,,
6 bedroom house for sale,"Eyaen Road, Aduwawa., Benin, Oredo, Edo","₦60,000,000",6.0,,7.0,
4 bedroom house for sale,"Ologolo, Lekki, Lagos","₦135,000,000",4.0,4.0,5.0,3.0
5 bedroom detached duplex for sale,"Idado, Lekki, Lagos","₦550,000,000",5.0,5.0,6.0,3.0
3 bedroom block of flats for sale,"Old Ikoyi Ikoyi, Old Ikoyi, Ikoyi, Lagos","₦600,000,000",3.0,3.0,4.0,2.0
4 bedroom detached duplex for sale,"Ikota, Ikota, Lekki, Lagos","₦200,000,000",4.0,4.0,5.0,3.0
5 bedroom detached duplex for sale,"Ikate, Lekki, Lagos","₦500,000,000",5.0,5.0,6.0,4.0
4 bedroom semi-detached duplex for sale,"Ikate, Lekki, Lagos","₦270,000,000",4.0,4.0,5.0,
5 bedroom house for sale,"Still Water Estate, Ikate, Ikate, Lekki, Lagos","₦550,000,000",5.0,6.0,6.0,6.0
4 bedroom terraced duplex for sale,"Ajah, Lekki, Lagos","₦92,000,000",4.0,4.0,5.0,3.0
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos","₦390,000,000",5.0,5.0,6.0,3.0
5 bedroom detached duplex for sale,"Lukosi, Ijeun Titun, Abeokuta South, Ogun","₦30,000,000",5.0,5.0,5.0,
6 bedroom detached duplex for sale,"Naf Valley Estate, Asokoro District, Abuja","₦900,000,000",6.0,7.0,7.0,
4 bedroom terraced duplex for sale,"South West, Ikoyi, Lagos","₦500,000,000",4.0,3.0,5.0,
Residential land for sale,"Gilmor, Jahi, Abuja","₦650,000,000",,,,
Mixed-use land for sale,"Okenla Epe Via Tomoba Epe, Epe, Lagos","₦1,500,000",,,,
4 bedroom semi-detached duplex for sale,"New Road Chevron, Lekki, Lagos","₦180,000,000",4.0,,5.0,
4 bedroom detached duplex for sale,"Ogba, Ikeja, Lagos","₦320,000,000",4.0,4.0,5.0,
5 bedroom detached duplex for sale,"Banana Island, Ikoyi, Lagos","₦3,000,000,000",5.0,,,
2 bedroom block of flats for sale,"Aguda, Surulere, Lagos","₦150,000,000",2.0,1.0,1.0,
4 bedroom semi-detached duplex for sale,"Harmony Estate, Magodo Gra, GRA Phase 1, Magodo, Lagos","₦250,000,000",4.0,4.0,5.0,4.0
4 bedroom semi-detached duplex for sale,"GRA Phase 1, Magodo, Lagos","₦220,000,000",4.0,4.0,5.0,
Block of flats for sale,"Abule Egba, Agege, Lagos","₦50,000,000",,,,
5 bedroom house for sale,"Ugbiyoko Community, Upper Ekenwan Road., Benin, Oredo, Edo","₦22,000,000",5.0,,,
3 bedroom block of flats for sale,"Beside Nicon Town Ikate, Ikate, Lekki, Lagos","₦85,000,000",3.0,3.0,3.0,
4 bedroom terraced duplex for sale,"Ikate, Lekki, Lagos","₦350,000,000",4.0,4.0,5.0,2.0
2 bedroom flat / apartment for sale,"Ikate, Lekki, Lagos","₦200,000,000",2.0,2.0,3.0,2.0
2 bedroom block of flats for sale,"Ikate Lekki, Ikate, Lekki, Lagos","₦100,000,000",2.0,2.0,3.0,
4 bedroom detached duplex for sale,"Gbagada, Lagos","₦370,000,000",4.0,4.0,5.0,
2 bedroom block of flats for sale,"Surulere, Surulere, Lagos","₦95,000,000",2.0,2.0,2.0,1.0
5 bedroom detached duplex for sale,"Chevron Lekki Lagos, Lekki, Lagos","₦400,000,000",5.0,5.0,5.0,4.0
Commercial property for sale,"Victoria Island (VI), Lagos","₦4,000,000,000",,,,
4 bedroom semi-detached duplex for sale,"Omole Phase 1 Ikeja, Ikeja, Lagos","₦220,000,000",4.0,4.0,5.0,4.0
2 bedroom block of flats for sale,"2nd Toll Gate, Lekki, Lekki, Lagos","₦65,000,000",2.0,2.0,2.0,2.0
2 bedroom flat / apartment for sale,"Ologolo, Lekki, Lagos","₦60,000,000",2.0,2.0,,
5 bedroom detached duplex for sale,"Ajah, Lagos","₦320,000,000",5.0,5.0,5.0,4.0
4 bedroom semi-detached duplex for sale,"Chevron Estate, Lekki, Lagos","₦280,000,000",4.0,4.0,5.0,5.0
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦285,000,000",4.0,4.0,5.0,
5 bedroom detached duplex for sale,"Banana Island, Ikoyi, Lagos","$3,500,000",5.0,5.0,6.0,4.0
Block of flats for sale,"Location* :market Square Bstop  *title* :cofo   *price* :90m, Ago Palace, Isolo, Lagos","₦90,000,000",,,,
4 bedroom terraced duplex for sale,"Ikota, VGC, Lekki, Lagos","₦110,000,000",4.0,4.0,5.0,2.0
3 bedroom flat / apartment for sale,"Abijo, Abijo, Lekki, Lagos","₦45,000,000",3.0,3.0,4.0,4.0
3 bedroom terraced duplex for sale,"Olive Park Estate After Lbs, Off Lekki - Epe Expressway, Lagos, Olokonla, Ajah, Lagos","₦120,000,000",3.0,3.0,4.0,
36 bedroom block of flats for sale,"Abidjan Street, Wuse, Abuja","₦3,800,000,000",36.0,21.0,22.0,15.0
Residential land for sale,"Maven Estate Phase 2, Epe, Lagos","₦900,000",,,,3.0
Residential land for sale,"Surulere, Lagos","₦400,000,000",,,,
1 bedroom flat / apartment for sale,"Ologolo, Lekki, Lagos","₦75,000,000",1.0,1.0,2.0,
Mixed-use land for sale,"Access To 3 Major Landmarks, Epe, Lagos","₦3,000,000",,,,
Mixed-use land for sale,"Maryland, Lagos","₦500,000,000",,,,
4 bedroom semi-detached duplex for sale,"Victoria Island (VI), Lagos","₦650,000,000",4.0,5.0,4.0,2.0
4 bedroom semi-detached duplex for sale,"Ajah, Lagos","₦150,000,000",4.0,,,
4 bedroom detached duplex for sale,"Superbly Built 4 Bedroom Detached Home, Ajah, Lagos","₦170,000,000",4.0,,,
2 bedroom terraced duplex for sale,"Ajah, Lagos","₦60,000,000",2.0,,,
3 bedroom detached duplex for sale,"Magodo, Lagos","₦120,000,000",3.0,3.0,4.0,
5 bedroom detached duplex for sale,"Lekki, Lagos","₦430,000,000",5.0,5.0,6.0,
3 bedroom block of flats for sale,"Ifako-Ijaiye, Lagos","₦120,000,000",3.0,1.0,1.0,
Block of flats for sale,"Federal Housing Estate, Ikorodu, Lagos","₦100,000,000",,,,
16 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","₦2,000,000,000",16.0,16.0,24.0,14.0
4 bedroom house for sale,"Lekki Phase 1, Lekki, Lagos","₦380,000,000",4.0,4.0,5.0,2.0
4 bedroom terraced duplex for sale,"Lekki Foreshore, Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦400,000,000",4.0,4.0,5.0,
5 bedroom detached duplex for sale,"Lekki Foreshore, Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦700,000,000",5.0,5.0,6.0,4.0
4 bedroom terraced duplex for sale,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦380,000,000",4.0,5.0,5.0,
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦410,000,000",4.0,4.0,5.0,
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦285,000,000",4.0,4.0,5.0,
6 bedroom detached duplex for sale,"This Tastefully Designed Home Comes With A Wet And Dry Kitchen, Lekki Phase 1, Lekki, Lagos","₦1,200,000,000",6.0,6.0,7.0,4.0
3 bedroom flat / apartment for sale,"Oniru, Victoria Island, Oniru, Victoria Island (VI), Lagos","₦290,000,000",3.0,3.0,4.0,2.0
4 bedroom semi-detached duplex for sale,"GRA, Ogudu, Lagos","₦250,000,000",4.0,4.0,4.0,
4 bedroom detached duplex for sale,"VGC, Lekki, Lagos","₦230,000,000",4.0,4.0,5.0,
Land for sale,"Inside Peninsula Garden Estate, Sangotedo, Ajah, Lagos","₦80,000,000",,,,
Residential land for sale,"Beechwood Estate, Bogije, Ibeju Lekki, Lagos","₦50,000,000",,,,
4 bedroom terraced duplex for sale,"Ikota, Lekki, Lagos","₦120,000,000",4.0,4.0,5.0,2.0
4 bedroom detached duplex for sale,"Within The Highly Sought After Oral Estate. Chevron Toll Gate, Ikota, Lekki, Lagos","₦355,000,000",4.0,4.0,5.0,5.0
3 bedroom flat / apartment for sale,"Prime Water Gardens Estate, Ikate, Lekki, Lagos","₦110,000,000",3.0,4.0,3.0,
4 bedroom terraced duplex for sale,"Off Awolowo Road, Ikoyi, Lagos","₦500,000,000",4.0,5.0,5.0,3.0
4 bedroom house for sale,"Oral Estate, Lekki, Lagos","₦132,000,000",4.0,4.0,6.0,3.0
4 bedroom terraced duplex for sale,"Oral Estate, Lekki, Lagos","₦105,000,000",4.0,5.0,6.0,3.0
3 bedroom terraced duplex for sale,"Ajah, Lagos","₦85,000,000",3.0,3.0,4.0,
5 bedroom detached duplex for sale,"Off Admiralty, Lekki Phase 1, Lekki, Lagos","₦950,000,000",5.0,5.0,6.0,
2 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","₦280,000,000",2.0,2.0,3.0,1.0
4 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦750,000,000",4.0,4.0,5.0,4.0
1 bedroom flat / apartment for sale,"Oniru, Victoria Island (VI), Lagos","₦145,000,000",1.0,1.0,2.0,1.0
5 bedroom detached duplex for sale,"Omole Phase 1, Ikeja, Lagos","₦460,000,000",5.0,5.0,5.0,
Commercial property for sale,"Old Ikoyi, Ikoyi, Lagos","₦9,500,000,000",,,,
3 bedroom detached bungalow for sale,"Idera Scheme Lekki Lagos, Eleko, Ibeju Lekki, Lagos","₦65,000,000",3.0,,,
4 bedroom terraced duplex for sale,"Platinum Way, Jakande, Lekki, Lagos","₦300,000,000",4.0,4.0,5.0,3.0
4 bedroom terraced duplex for sale,"Ikota, Lekki, Lagos","₦88,000,000",4.0,4.0,5.0,2.0
Residential land for sale,"Apo/guzape, Apo Resettlement, Apo, Abuja","₦18,000,000",,,,
