type of house,location,price,bedrooms,bathrooms,toilets,parking_space
Residential land for sale,"Ikoyi, Lagos","₦1,380,000",,,,
4 bedroom terraced duplex for sale,"Ultra Luxury Super Modern Home, Ikoyi, Lagos","$750,000",4.0,4.0,5.0,3.0
5 bedroom detached duplex for sale,"Within A Serviced, Call To Access, Serene Estate, Chevron, Lekki, Lagos","₦690,000,000",5.0,5.0,6.0,4.0
Office space for sale,"Victoria Island (VI), Lagos","₦9,500,000,000",,,,28.0
3 bedroom terraced duplex for sale,"General Paint By Lbs, Ajah, Lagos","₦58,000,000",3.0,3.0,4.0,4.0
4 bedroom detached duplex for sale,"Agbara Residential Estate, Agbara, Ado-Odo/Ota, Ogun","₦180,000,000",4.0,3.0,4.0,5.0
5 bedroom hotel / guest house for sale,"Fred Williams Street, Ogba, Ikeja, Lagos","₦200,000,000",5.0,,18.0,12.0
Residential land for sale,"Lekki Phase 1, Lekki, Lagos","₦960,000,000",,,,
4 bedroom terraced duplex for sale,"Lekki Phase 2, Lekki, Lagos","₦100,000,000",4.0,4.0,5.0,
Residential land for sale,"Lekki Phase 2, Lekki, Lagos","₦68,000,000",,,,
3 bedroom flat / apartment for sale,"Osapa, Lekki, Lagos","₦135,000,000",3.0,3.0,4.0,2.0
4 bedroom terraced duplex for sale,"Ikate Elegushi, Lekki, Lagos","₦300,000,000",4.0,4.0,5.0,2.0
5 bedroom terraced duplex for sale,"Banana Island, Ikoyi, Lagos","₦2,900,000,000",5.0,5.0,6.0,4.0
6 bedroom detached duplex for sale,"Banana Island, Ikoyi, Lagos","₦7,500,000,000",6.0,6.0,7.0,6.0
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦130,000,000",4.0,5.0,5.0,3.0
4 bedroom terraced duplex for sale,"Ikota, Lekki, Lagos","₦80,000,000",4.0,4.0,5.0,2.0
Residential land for sale,"Block 3a, Phase 2, Orange Island, Lekki, Lagos","₦350,000,000",,,,
Residential land for sale,"Block 5a, Phase 2, Orange Island, Lekki, Lagos","₦550,000,000",,,,
Residential land for sale,"Block 15, Phase 1, Orange Island, Lekki, Lagos","₦370,000,000",,,,
3 bedroom flat / apartment for sale,"Victoria Island (VI), Lagos","₦600,000,000",3.0,3.0,4.0,2.0
3 bedroom flat / apartment for sale,"Victoria Island (VI), Lagos","₦450,000,000",3.0,3.0,4.0,2.0
3 bedroom flat / apartment for sale,"1004 Estate, Victoria Island (VI), Lagos","₦220,000,000",3.0,2.0,3.0,2.0
4 bedroom semi-detached duplex for sale,"Gbagada, Lagos","₦280,000,000",4.0,4.0,5.0,2.0
4 bedroom detached duplex for sale,"Ultra Luxury Super Modern Home, Orchid, Lekki, Lagos","₦260,000,000",4.0,4.0,5.0,3.0
4 bedroom house for sale,"Off Ahmadu Aliero Crescent, Guzape District, Abuja","₦320,000,000",4.0,4.0,4.0,1.0
2 bedroom flat / apartment for sale,"Ogba, Ikeja, Lagos","₦125,000,000",2.0,2.0,3.0,2.0
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦1,300,000,000",5.0,5.0,6.0,
5 bedroom semi-detached duplex for sale,"Orchid Road, Lekki Phase 2, Lekki, Lagos","₦250,000,000",5.0,5.0,6.0,
4 bedroom detached duplex for sale,"Orchid Road, Lekki Phase 2, Lekki, Lagos","₦200,000,000",4.0,4.0,5.0,
5 bedroom terraced duplex for sale,"Banana Island, Ikoyi, Lagos","$1,500,000",5.0,5.0,6.0,3.0
6 bedroom detached duplex for sale,"Ultra Modern Luxury Waterfront Villa, Banana Island, Ikoyi, Lagos","$4,500,000",6.0,6.0,7.0,6.0
4 bedroom semi-detached duplex for sale,"Anthony, Maryland, Lagos","₦240,000,000",4.0,4.0,5.0,2.0
4 bedroom detached duplex for sale,"Abule Egba, Agege, Lagos","₦220,000,000",4.0,4.0,5.0,2.0
4 bedroom terraced duplex for sale,"VGC, Lekki, Lagos","₦100,000,000",4.0,5.0,5.0,3.0
Shop for sale,"Inside Aos Mall, Adeniran Ogunsanya, Surulere, Lagos","₦27,000,000",,,,
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","₦130,000,000",4.0,5.0,5.0,3.0
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","₦200,000,000",4.0,4.0,5.0,5.0
Plaza / complex / mall for sale,"Kubwa Expressway, Karsana North, Karsana, Abuja","₦1,500,000",,,,
4 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos","₦320,000,000",4.0,4.0,5.0,2.0
4 bedroom detached duplex for sale,"Lekki, Lagos","₦300,000,000",4.0,4.0,5.0,
3 bedroom semi-detached duplex for sale,"Magodo, Lagos","₦120,000,000",3.0,3.0,4.0,3.0
3 bedroom detached bungalow for sale,"Mowe Ofada, Ogun","₦55,000,000",3.0,5.0,4.0,5.0
5 bedroom detached duplex for sale,"Amuwo Odofin, Lagos","₦380,000,000",5.0,5.0,6.0,5.0
4 bedroom semi-detached duplex for sale,"Lekki, Lagos","₦250,000,000",4.0,4.0,5.0,
3 bedroom terraced duplex for sale,"Orchid, Lekki, Lagos","₦80,000,000",3.0,4.0,4.0,3.0
3 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos","₦520,000,000",3.0,3.0,4.0,2.0
4 bedroom terraced duplex for sale,"Ikeja GRA, Ikeja, Lagos","₦380,000,000",4.0,4.0,5.0,4.0
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦500,000,000",4.0,4.0,5.0,
2 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","₦250,000,000",2.0,2.0,3.0,2.0
4 bedroom detached duplex for sale,"Banana Island, Ikoyi, Lagos","₦3,000,000,000",4.0,4.0,5.0,
4 bedroom terraced duplex for sale,"GRA, Ogudu, Lagos","₦180,000,000",4.0,4.0,5.0,5.0
Residential land for sale,"Ocean View Phase 2, Sangotedo, Ajah, Lagos","₦29,750,000",,,,4.0
4 bedroom terraced duplex for sale,"Akora Estate, Adeniyi Jones, Ikeja, Lagos","₦230,000,000",4.0,4.0,5.0,2.0
6 bedroom detached duplex for sale,"Old Ikoyi, Ikoyi, Lagos","$1,700,000",6.0,6.0,7.0,3.0
2 bedroom flat / apartment for sale,"Oribanwa, Ibeju Lekki, Lagos","₦35,000,000",2.0,2.0,,
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦230,000,000",4.0,4.0,5.0,6.0
3 bedroom terraced duplex for sale,"Ikota, Lekki, Lagos","₦65,000,000",3.0,,,
4 bedroom terraced duplex for sale,"Ikate, Lekki, Lagos","₦185,000,000",4.0,4.0,5.0,
Residential land for sale,"Epe, Lagos","₦3,000,000",,,,
4 bedroom terraced duplex for sale,"Orchid Road, Lekki, Lagos","₦90,000,000",4.0,4.0,5.0,
Residential land for sale,"Idera Scheme, Ibeju Lekki, Lagos","₦40,000,000",,,,
Residential land for sale,"Oxford Heights Estate Phase 1, Asaba, Delta","₦9,000,000",,,,4.0
Residential land for sale,"Kingsville Phase 2, Epe, Lagos","₦3,500,000",,,,
4 bedroom detached duplex for sale,"Maryland, Lagos","₦270,000,000",4.0,4.0,5.0,2.0
4 bedroom terraced duplex for sale,"By Galadinmawa Roundabout, Galadimawa, Abuja","₦160,000,000",4.0,5.0,5.0,4.0
5 bedroom detached duplex for sale,"Omole Phase 2, Ikeja, Lagos","₦640,000,000",5.0,5.0,6.0,4.0
Residential land for sale,"Ikate Elegushi, Lekki, Lagos","₦720,000,000",,,,
Mixed-use land for sale,"By City Of David, Oniru, Victoria Island (VI), Lagos","₦950,000",,,,
5 bedroom detached duplex for sale,"Banana Island, Ikoyi, Lagos","$4,500,000",5.0,5.0,6.0,
5 bedroom detached duplex for sale,"Omole Phase 1, Ikeja, Lagos","₦550,000,000",5.0,,6.0,
4 bedroom semi-detached duplex for sale,"Ologolo, Lekki, Lagos","₦220,000,000",4.0,5.0,5.0,3.0
6 bedroom detached duplex for sale,"Nicon Town, Lekki, Lagos","₦1,680,000,000",6.0,6.0,7.0,
5 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦420,000,000",5.0,5.0,6.0,4.0
5 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦250,000,000",5.0,5.0,6.0,8.0
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","₦140,000,000",4.0,4.0,4.0,2.0
5 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦260,000,000",5.0,5.0,6.0,4.0
5 bedroom detached duplex for sale,"Off Orchid Road 2nd Toll Gate, Lekki, Lagos","₦245,000,000",5.0,5.0,6.0,4.0
Commercial land for sale,"Along Ozumba Mbadiwe, Victoria Island (VI), Lagos","$25,000,000",,,,
5 bedroom detached duplex for sale,"Osongama Estate, Uyo, Akwa Ibom","₦350,000,000",5.0,5.0,6.0,
3 bedroom flat / apartment for sale,"Azuri Towers, Eko Atlantic City, Lagos","$1,000,000",3.0,4.0,4.0,
3 bedroom semi-detached duplex for sale,"Orchid, Lekki, Lagos","₦105,000,000",3.0,3.0,4.0,2.0
4 bedroom detached duplex for sale,"Atlantic Nominee Estate General Paint, Ajah, Lagos","₦130,000,000",4.0,4.0,5.0,3.0
5 bedroom terraced duplex for sale,"Chevron, Lekki, Lagos","₦170,000,000",5.0,5.0,6.0,2.0
Mixed-use land for sale,"Palace Courts Estate, Along Airport Road, Ngor Okpala, Imo","₦7,000,000",,,,
7 bedroom detached duplex for sale,"Maitama District, Abuja","₦3,000,000,000",7.0,,,
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦450,000,000",4.0,4.0,5.0,2.0
3 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","₦190,000,000",3.0,3.0,4.0,
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦410,000,000",4.0,5.0,5.0,3.0
Residential land for sale,"Off Ondo Street, Banana Island, Ikoyi, Lagos","₦4,500,000,000",,,,
3 bedroom terraced duplex for sale,"Ajayi Apata, Sangotedo, Ajah, Lagos","₦95,000,000",3.0,3.0,4.0,3.0
Commercial land for sale,"Monastery Road, Lekki - Calabar Coastal Road, Sangotedo, Ajah, Lagos","₦40,000,000",,,,
6 bedroom house for sale,"Old Ikoyi, Ikoyi, Lagos","$2,500,000",6.0,,6.0,
Mixed-use land for sale,"Old Ikoyi, Ikoyi, Lagos","₦3,000,000",,,,
Mixed-use land for sale,"Zion Gardens Estate, Umuashibogu Farm Road, Eneka, Port Harcourt, Rivers","₦4,700,000",,,,
4 bedroom detached duplex for sale,"Opic, Isheri North, Lagos","₦190,000,000",4.0,4.0,4.0,
4 bedroom semi-detached duplex for sale,"Westend Estate, Ikota, Lekki, Lagos","₦120,000,000",4.0,4.0,5.0,3.0
4 bedroom semi-detached duplex for sale,"Westend Estate, Ikota, Lekki, Lagos","₦120,000,000",4.0,4.0,5.0,3.0
4 bedroom semi-detached duplex for sale,"Ikota Gra, Ikota, Lekki, Lagos","₦135,000,000",4.0,4.0,5.0,3.0
4 bedroom terraced duplex for sale,"Oba Avenue, Ikota, Lekki, Lagos","₦135,000,000",4.0,4.0,5.0,2.0
4 bedroom terraced duplex for sale,"Oba Avenue, Ikota, Lekki, Lagos","₦135,000,000",4.0,4.0,5.0,2.0
4 bedroom terraced duplex for sale,"Ikate, Lekki, Lagos","₦300,000,000",4.0,4.0,5.0,2.0
3 bedroom flat / apartment for sale,"Gbagada, Lagos","₦140,000,000",3.0,3.0,3.0,
Land for sale,"Amen Estate 2, Ibeju Lekki, Lagos","₦75,000,000",,,,
2 bedroom flat / apartment for sale,"Chevron Drive,, Lekki, Lagos","₦70,000,000",2.0,2.0,3.0,2.0
Mixed-use land for sale,"Omo Adio Ido Expressroad, Ibadan, Oyo","₦2,000,000",,,,
2 bedroom flat / apartment for sale,"Ogba, Ikeja, Lagos","₦125,000,000",2.0,2.0,2.0,
4 bedroom detached duplex for sale,"Ogba, Ikeja, Lagos","₦300,000,000",4.0,4.0,4.0,
Residential land for sale,"Off 3rd Avenue, Banana Island, Ikoyi, Lagos","₦3,100,000",,,,
5 bedroom detached duplex for sale,"Omole Phase 1, Ikeja, Lagos","₦550,000,000",5.0,5.0,5.0,
Residential land for sale,"Opp Power Station, Katampe (Main), Katampe, Abuja","₦35,000,000",,,,5.0
4 bedroom terraced duplex for sale,"Ikota, Lekki, Lagos","₦85,000,000",4.0,4.0,5.0,2.0
4 bedroom terraced duplex for sale,"Westend Estate, Ikota, Lekki, Lagos","₦95,000,000",4.0,4.0,6.0,2.0
5 bedroom semi-detached duplex for sale,"Westend Estate, Ikota, Lekki, Lagos","₦165,000,000",5.0,5.0,6.0,3.0
5 bedroom semi-detached duplex for sale,"Westend Estate, Ikota, Lekki, Lagos","₦165,000,000",5.0,5.0,6.0,3.0
Residential land for sale,"FO1 Layout, Kubwa, Abuja","₦22,000,000",,,,4.0
Residential land for sale,"Infinite Grande Homes, FO1 Layout, Kubwa, Abuja","₦33,750,000",,,,5.0
5 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos","₦800,000,000",5.0,5.0,5.0,
4 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos","₦500,000,000",4.0,4.0,4.0,
4 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos","₦450,000,000",4.0,4.0,4.0,
4 bedroom semi-detached duplex for sale,"Thomas Estate, Ajah, Lagos","₦95,000,000",4.0,4.0,5.0,4.0
Residential land for sale,"Library Junction, Before Kubwa Train Station, Kubwa, Abuja","₦37,200,000",,,,4.0
Residential land for sale,"Atan Otta, Sango Ota, Ogun","₦2,500,000",,,,
Mixed-use land for sale,"Ozumba Mbadiwe, Victoria Island (VI), Lagos","$25,000,000",,,,
5 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos","₦690,000,000",5.0,5.0,6.0,4.0
5 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos","₦690,000,000",5.0,5.0,6.0,4.0
Residential land for sale,"Castle And Temple Street, Lekki Phase 1, Lekki, Lagos","₦900,000",,,,
3 bedroom detached bungalow for sale,"Lekki Expressway, Lekki, Lagos","₦58,000,000",3.0,3.0,4.0,
5 bedroom detached duplex for sale,"Pinnock Beach Estate, Osapa, Lekki, Lagos","₦700,000,000",5.0,5.0,6.0,5.0
Residential land for sale,"Northgate Estate Opposite Fara Park By Majek Bus Stop Lekki Epe Expres, Sangotedo, Ajah, Lagos","₦10,500,000",,,,6.0
3 bedroom detached bungalow for sale,"Adjacent New Lekki International Airport By Idera Scheme, Eleko, Ibeju Lekki, Lagos","₦58,000,000",3.0,3.0,4.0,4.0
4 bedroom terraced duplex for sale,"Ikate, Lekki, Lagos","₦350,000,000",4.0,,5.0,
4 bedroom detached duplex for sale,"Orchid Road, Lekki, Lagos","₦170,000,000",4.0,4.0,5.0,3.0
Residential land for sale,"10 Minutes Away From Magodo Phase 2, Berger, Arepo, Ogun","₦25,000,000",,,,
4 bedroom semi-detached duplex for sale,"Maryland, Lagos","₦270,000,000",4.0,4.0,4.0,
1 bedroom house for sale,"10 Minutes From Airport, Aviation Village, Off Centenary City, Kyami, Abuja","₦16,490,880",1.0,1.0,2.0,
Mixed-use land for sale,"Off Glover Road By Ikoyi Gold Course, Ikoyi, Lagos","₦2,000,000",,,,
4 bedroom detached duplex for sale,"Orchid Road, Lekki, Lagos","₦155,000,000",4.0,4.0,5.0,4.0
5 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos","₦400,000,000",5.0,5.0,6.0,3.0
5 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos","₦400,000,000",5.0,5.0,6.0,3.0
5 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos","₦450,000,000",5.0,5.0,6.0,2.0
5 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos","₦450,000,000",5.0,5.0,6.0,2.0
5 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos","₦400,000,000",5.0,5.0,6.0,3.0
5 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos","₦400,000,000",5.0,5.0,6.0,3.0
5 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos","₦420,000,000",5.0,5.0,6.0,3.0
5 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos","₦420,000,000",5.0,5.0,6.0,3.0
3 bedroom terraced duplex for sale,"Omole Phase 2 Estate,, Omole Phase 2, Ikeja, Lagos","₦200,000,000",3.0,3.0,4.0,2.0
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦400,000,000",4.0,4.0,5.0,2.0
3 bedroom terraced duplex for sale,"Lekki Right, Lekki Phase 1, Lekki, Lagos","₦300,000,000",3.0,3.0,4.0,3.0
4 bedroom house for sale,"Block 6 Plot 1, Lekki Phase 2, Lekki, Lagos","₦120,000,000",4.0,4.0,7.0,
5 bedroom semi-detached duplex for sale,"Parkview Estate, Parkview, Ikoyi, Lagos","₦850,000,000",5.0,5.0,6.0,
4 bedroom semi-detached duplex for sale,"Vgc Extension, VGC, Lekki, Lagos","₦250,000,000",4.0,4.0,5.0,2.0
4 bedroom detached duplex for sale,"Vgc Extension, VGC, Lekki, Lagos","₦205,000,000",4.0,4.0,5.0,4.0
4 bedroom detached duplex for sale,"Harris Drive, VGC, Lekki, Lagos","₦135,000,000",4.0,4.0,5.0,
28 bedroom terraced duplex for sale,"Sangotedo, Sangotedo, Ajah, Lagos","₦2,900,000,000",28.0,28.0,56.0,
2 bedroom flat / apartment for sale,"Ilasan, Lekki, Lagos","₦90,000,000",2.0,2.0,3.0,
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","₦140,000,000",4.0,4.0,5.0,2.0
5 bedroom semi-detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦400,000,000",5.0,5.0,6.0,
5 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦500,000,000",5.0,5.0,6.0,8.0
Land for sale,"Surulere, Lagos","₦400,000,000",,,,
Land for sale,"Surulere, Lagos","₦400,000,000",,,,
4 bedroom terraced duplex for sale,"1st Avenue, Gwarinpa, Abuja","₦125,000,000",4.0,4.0,4.0,5.0
4 bedroom terraced duplex for sale,"Jahi, Abuja","₦160,000,000",4.0,4.0,5.0,5.0
4 bedroom semi-detached duplex for sale,"Ikoyi, Lagos","₦900,000,000",4.0,4.0,5.0,3.0
4 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦450,000,000",4.0,4.0,5.0,
4 bedroom terraced duplex for sale,"Victoria Island (VI), Lagos","₦500,000,000",4.0,4.0,5.0,2.0
3 bedroom detached bungalow for sale,"Allen, Ikeja, Lagos","₦240,000,000",3.0,,5.0,30.0
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦400,000,000",4.0,4.0,5.0,3.0
3 bedroom block of flats for sale,"Lekki Phase 1, Lekki, Lagos","₦2,000,000,000",3.0,3.0,4.0,
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦800,000,000",5.0,5.0,6.0,4.0
4 bedroom block of flats for sale,"Okota, Isolo, Lagos","₦175,000,000",4.0,4.0,4.0,3.0
4 bedroom detached duplex for sale,"High Castle Estate, Boys Town, Ipaja, Lagos","₦110,000,000",4.0,5.0,5.0,4.0
4 bedroom terraced duplex for sale,"Orchid, Lekki, Lagos","₦130,000,000",4.0,4.0,5.0,2.0
5 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦620,000,000",5.0,5.0,6.0,8.0
5 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦330,000,000",5.0,5.0,6.0,
8 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦900,000,000",8.0,8.0,9.0,
5 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦700,000,000",5.0,5.0,6.0,15.0
4 bedroom detached duplex for sale,"Orchid, Lekki, Lagos","₦200,000,000",4.0,4.0,5.0,3.0
4 bedroom terraced duplex for sale,"Orchid, Lekki, Lagos","₦100,000,000",4.0,4.0,5.0,2.0
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos","₦690,000,000",5.0,5.0,5.0,4.0
5 bedroom detached duplex for sale,"Royal Garden Estate, Lekki, Lagos","₦400,000,000",5.0,5.0,6.0,6.0
Block of flats for sale,"Off Ogudu Road, Ojota, Lagos","₦135,000,000",,,,
4 bedroom terraced duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦125,000,000",4.0,4.0,5.0,
5 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦400,000,000",5.0,5.0,6.0,10.0
5 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦320,000,000",5.0,5.0,6.0,
5 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦550,000,000",5.0,5.0,6.0,6.0
4 bedroom terraced duplex for sale,"Ikeja GRA, Ikeja, Lagos","₦380,000,000",4.0,4.0,5.0,
4 bedroom detached duplex for sale,"K-farm,  Obawole, Ogba, Ikeja, Lagos","₦150,000,000",4.0,,,
3 bedroom detached bungalow for sale,"Ogba, Ikeja, Lagos","₦100,000,000",3.0,,,
5 bedroom semi-detached duplex for sale,"Parkview, Ikoyi, Lagos","₦650,000,000",5.0,6.0,6.0,5.0
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦250,000,000",4.0,,,
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦250,000,000",4.0,4.0,5.0,
5 bedroom detached duplex for sale,"Ikota Villa, Ikota, Lekki, Lagos","₦450,000,000",5.0,,,
5 bedroom detached duplex for sale,"Lekki, Lagos","₦250,000,000",5.0,6.0,6.0,5.0
Land for sale,"Peace Estate, Gbagada, Lagos","₦45,000,000",,,,
Residential land for sale,"By Peace Apartment, Jahi, Abuja","₦250,000,000",,,,
4 bedroom semi-detached duplex for sale,"Orchid, Lekki, Lagos","₦250,000,000",4.0,4.0,5.0,2.0
4 bedroom terraced duplex for sale,"Ogudu, Lagos","₦180,000,000",4.0,4.0,5.0,
4 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦205,000,000",4.0,5.0,5.0,4.0
Block of flats for sale,"Obawole Ogba, Ifako-Ijaiye, Lagos","₦120,000,000",,,,
Commercial land for sale,"Awolowo Road, Ikoyi, Lagos","₦850,000,000",,,,
Mixed-use land for sale,"In A Serene Area In Surulere, Surulere, Lagos","₦230,000,000",,,,
Land for sale,"In A Secured & Serene Neighborhood In Maryland, Maryland, Lagos","₦500,000,000",,,,
2 bedroom terraced duplex for sale,"Ajah, Lagos","₦60,000,000",2.0,2.0,3.0,
4 bedroom detached duplex for sale,"Ajah, Lagos","₦150,000,000",4.0,4.0,5.0,
4 bedroom semi-detached duplex for sale,"Ajah, Lagos","₦80,000,000",4.0,4.0,5.0,
2 bedroom flat / apartment for sale,"Freedom Way, Lekki Phase 1, Lekki, Lagos","₦250,000,000",2.0,2.0,3.0,
Residential land for sale,"Sangotedo, Ajah, Lagos","₦24,000,000",,,,
3 bedroom detached bungalow for sale,"Lekki Avana ,idera Scheme, Eleko, Ibeju Lekki, Lagos","₦65,000,000",3.0,4.0,4.0,3.0
3 bedroom detached bungalow for sale,"Idera Scheme Eleko, Eleko, Ibeju Lekki, Lagos","₦58,000,000",3.0,3.0,4.0,2.0
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦250,000,000",4.0,4.0,5.0,3.0
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","₦135,000,000",4.0,4.0,5.0,4.0
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦200,000,000",4.0,,,
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","₦170,000,000",4.0,,,
4 bedroom terraced duplex for sale,"Ikate, Lekki, Lagos","₦185,000,000",4.0,4.0,5.0,
5 bedroom semi-detached duplex for sale,"Secured Estate, GRA Phase 2, Magodo, Lagos","₦350,000,000",5.0,5.0,6.0,
Mixed-use land for sale,"Amaka Estate,alaba International Airport Agbogazi Axis, Enugu, Enugu","₦2,500,000",,,,
Mixed-use land for sale,"Pineapple Estate 10min Drive From Imota Rice Mill Factory, Ikorodu, Lagos","₦900,000",,,,
4 bedroom semi-detached duplex for sale,"Orchid Road, Lekki, Lagos","₦165,000,000",4.0,,,
4 bedroom terraced duplex for sale,"Victoria Island (VI), Lagos","₦500,000,000",4.0,4.0,5.0,
4 bedroom terraced duplex for sale,"Lekki, Lagos","₦100,000,000",4.0,4.0,5.0,
4 bedroom semi-detached duplex for sale,"Maryland, Lagos","₦270,000,000",4.0,4.0,5.0,
4 bedroom house for sale,"Surulere, Surulere, Lagos","₦240,000,000",4.0,4.0,5.0,
5 bedroom detached duplex for sale,"Chevron Drive, Lekki, Lagos","₦280,000,000",5.0,,,
5 bedroom detached duplex for sale,"Chevron Drive, Lekki, Lagos","₦350,000,000",5.0,,,
3 bedroom flat / apartment for sale,"Surulere, Lagos","₦90,000,000",3.0,3.0,4.0,
4 bedroom terraced duplex for sale,"Off Toyin Street, Allen, Ikeja, Lagos","₦220,000,000",4.0,,5.0,
29 bedroom hotel / guest house for sale,"GRA Phase 2, Port Harcourt, Rivers","₦800,000,000",29.0,30.0,33.0,
4 bedroom detached duplex for sale,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers","₦400,000,000",4.0,4.0,5.0,5.0
Residential land for sale,"Oxford Heights Estates, Awoyaya, Ibeju Lekki, Lagos","₦5,500,000",,,,
Residential land for sale,"Rockstone Ville Estate, Badore, Ajah, Lagos","₦35,000,000",,,,
4 bedroom terraced duplex for sale,"GRA, Ogudu, Lagos","₦190,000,000",4.0,,5.0,
4 bedroom detached duplex for sale,"Old Ikoyi, Ikoyi, Lagos","₦870,000,000",4.0,4.0,5.0,4.0
Residential land for sale,"Eneka Link Road, Eneka, Port Harcourt, Rivers","₦60,000,000",,,,
4 bedroom detached duplex for sale,"Shell Cooperative, Eneka, Port Harcourt, Rivers","₦270,000,000",4.0,,5.0,
4 bedroom house for sale,"Surulere, Lagos","₦200,000,000",4.0,4.0,4.0,
2 bedroom detached bungalow for sale,"Ibeju Lekki, Lagos","₦30,000,000",2.0,2.0,3.0,12.0
5 bedroom detached duplex for sale,"Royal Garden Estate, Ajah, Lagos","₦550,000,000",5.0,5.0,6.0,4.0
Residential land for sale,"Royal Palm Estate, Ibeju Lekki, Lagos","₦10,000,000",,,,
3 bedroom hotel / guest house for sale,"Adjao Estate Close To Airport, Ikeja, Lagos","₦800,000,000",3.0,3.0,4.0,
3 bedroom semi-detached duplex for sale,"Orchid, Lekki, Lagos","₦100,000,000",3.0,3.0,4.0,
Land for sale,"Ozumba Mbadiwe, Victoria Island (VI), Lagos","$25,000,000",,,,
3 bedroom block of flats for sale,"In A Secured Environment In Surulere, Surulere, Lagos","₦90,000,000",3.0,4.0,4.0,3.0
3 bedroom flat / apartment for sale,"Maryland, Ikeja, Lagos","₦170,000,000",3.0,,4.0,
4 bedroom semi-detached duplex for sale,"Gbagada, Lagos","₦250,000,000",4.0,4.0,4.0,
4 bedroom semi-detached duplex for sale,"Magodo, Lagos","₦350,000,000",4.0,4.0,5.0,
Residential land for sale,"Omole Phase 2, Ikeja, Lagos","₦250,000,000",,,,
4 bedroom semi-detached duplex for sale,"Opebi, Ikeja, Lagos","₦350,000,000",4.0,,5.0,
3 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","₦150,000,000",3.0,3.0,4.0,2.0
Residential land for sale,"Olubunmi City And Resort Estate, Awoyaya, Ibeju Lekki, Lagos","₦25,000,000",,,,
4 bedroom semi-detached duplex for sale,"Anthony, Maryland, Lagos","₦300,000,000",4.0,4.0,4.0,
