price,bedrooms,bathrooms,toilets,parking_space,state,town,price_log,house_category,price_per_bedroom,total_faclities
120000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.603002309079653,Apartment Flat,60000000.0,9.0
160000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.8906843794481,Apartment Flat,53333333.333333336,12.0
120000000.0,4.0,4.0,5.0,2.0,Lagos,Lekki,18.603002309079653,Terraced Duplex,30000000.0,15.0
110000000.0,2.0,2.0,3.0,3.0,Lagos,Lekki,18.5159909328476,Apartment Flat,55000000.0,10.0
115000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.560442695023177,standard house,28750000.0,16.0
240000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.29614948547293,standard house,60000000.0,16.0
180000000.0,2.0,2.0,2.0,2.0,Lagos,Lekki,19.00846741441004,Block of Flats,90000000.0,8.0
350000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.673443715304877,Terraced Duplex,87500000.0,16.0
145000000.0,4.0,4.0,5.0,2.0,Lagos,Lekki,18.7922443072814,Detached Duplex,36250000.0,15.0
280000000.0,5.0,5.0,6.0,3.0,Lagos,Lekki,19.450300164704952,Detached Duplex,56000000.0,19.0
145000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.7922443072814,Apartment Flat,72500000.0,9.0
185000000.0,4.0,4.0,5.0,2.0,Lagos,Lekki,19.035866388448003,Terraced Duplex,46250000.0,15.0
90000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.31532023940565,Apartment Flat,45000000.0,9.0
130000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.683045016112164,Block of Flats,65000000.0,9.0
380000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.755681813316283,Detached Duplex,76000000.0,20.0
300000000.0,4.0,4.0,5.0,4.0,Lagos,Lekki,19.519293035953808,Detached Duplex,75000000.0,17.0
140000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.757152987716434,Apartment Flat,46666666.666666664,12.0
240000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.29614948547293,Terraced Duplex,60000000.0,16.0
125000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.643824303266577,Apartment Flat,62500000.0,9.0
300000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.519293035953808,Detached Duplex,60000000.0,20.0
240000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.29614948547293,Detached Duplex,48000000.0,20.0
170000000.0,4.0,5.0,5.0,3.0,Lagos,Lekki,18.951309000896888,Detached Duplex,42500000.0,17.0
210000000.0,4.0,5.0,5.0,3.0,Lagos,Lekki,19.162618093443648,Detached Duplex,52500000.0,17.0
160000000.0,2.0,3.0,3.0,2.0,Lagos,Lekki,18.8906843794481,Apartment Flat,80000000.0,10.0
160000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.8906843794481,Detached Duplex,40000000.0,16.0
180000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.00846741441004,Terraced Duplex,45000000.0,16.0
130000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.683045016112164,Detached Duplex,32500000.0,16.0
390000000.0,4.0,5.0,5.0,3.0,Lagos,Lekki,19.781657299652068,Terraced Duplex,97500000.0,17.0
60000000.0,1.0,2.0,2.0,2.0,Lagos,Lekki,17.909855136853043,Block of Flats,60000000.0,7.0
330000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.6146032154551,Detached Duplex,82500000.0,16.0
380000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.755681813316283,Terraced Duplex,95000000.0,16.0
175000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.980296537602072,Apartment Flat,87500000.0,9.0
100000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.420680753952364,Apartment Flat,50000000.0,9.0
120000000.0,3.0,3.0,4.0,3.0,Lagos,Lekki,18.603002309079653,Detached Duplex,40000000.0,13.0
380000000.0,5.0,5.0,6.0,6.0,Lagos,Lekki,19.755681813316283,Detached Duplex,76000000.0,22.0
